symbol,isin,haircut_value,security_name,security_segment,security_type,limit_breached
200K01TL3,INF200K01TL3,10,SBI Overnight Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
SBIOFDG,INF200K01TK5,5,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH,cash,Mutual Funds,false
200K01UU2,INF200K01UU2,10,SBI Liquid Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
SBILFDG,INF200K01UT4,10,SBI Liquid Fund - DIRECT PLAN -Growth,cash,Mutual Funds,false
200K01UR8,INF200K01UR8,10,SBI Liquid Fund - Direct Paln - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01SI1,INF200K01SI1,10,SBI Magnum Constant Maturity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01SK7,INF200K01SK7,10,SBI MAGNUM CONSTANT MATURITY FUND - DIRECT PLAN - GROWTH,cash,Mutual Funds,false
200K01SF7,INF200K01SF7,10,SBI Magnum Gilt Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
MGFD040A,INF200K01SH3,10,SBI MAGNUM GILT FUND - DIRECT PLAN - GROWTH,cash,Mutual Funds,false
200K01SX0,INF200K01SX0,10,SBI Savings Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
SBISGDG,INF200K01SZ5,10,SBI  SAVINGS FUND - DIRECT PLAN - GROWTH,cash,Mutual Funds,false
SCIGID663G,INF200KA12Q9,10,SBI  CRISIL IBX Gilt Index - June 2036 Fund - Direct Plan - Growth,cash,Mutual Funds,false
SCIGID664G,INF200KA18Q6,10,SBI CRISIL IBX Gilt Index - April 2029 Fund - Direct Plan - Growth,cash,Mutual Funds,false
200K01TJ7,INF200K01TJ7,10,SBI Overnight Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01TM1,INF200K01TM1,10,SBI Overnight Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01UV0,INF200K01UV0,10,SBI Liquid Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01US6,INF200K01US6,10,SBI Liquid Fund - Direct Paln - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01UQ0,INF200K01UQ0,10,SBI Liquid Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01SJ9,INF200K01SJ9,10,SBI Magnum Constant Maturity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01SG5,INF200K01SG5,10,SBI Magnum Gilt Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01SY8,INF200K01SY8,10,SBI Savings Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
200K01SW2,INF200K01SW2,10,SBI Savings Fund - Direct Plan Daily Income Distribution cum Capital Withdrawal Option (IDCW),cash,Mutual Funds,false
